Nama,Email,Handphone,Gender,Age,Year Birth,Address,Location,Location Type,Device Model,Operating System,Wifi Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Login Hour,Digital Interest,generation,Brand,Activity,Email Provider,Phone Provider,Higher Education
Kenes Mayasari,kenesmayasari90@gmail.com,81728077842,Male,45,1979,"Gang Wonoayu No. 94, Tangerang Selatan, 28785",Liberica Cilandak Town Square,Cafe,Samsung Galaxy S21,Android,301,6.2,2053,75,1303,8,e-commerce,Gen X,Samsung,Pagi,gmail.com,XL,Tidak
"Ina Halimah, S.E.",inahalimahs.e.91@gmail.com,81136012391,Female,40,1984,"Jl. HOS. Cokroaminoto No. 129, Jakarta Selatan, 82896",Kintaro Sushi PIK,Restaurant,Google Pixel 5,Android,116,2.1,912,39,307,1,streaming video,Millennials,Google,Dini Hari,gmail.com,Telkomsel,Ya
Cagak Saefullah,cagaksaefullah92@gmail.com,89717380336,Female,32,1992,"Gg. Sukajadi No. 590, Tangerang Selatan, 93845",Warung Tekko Daan Mogot,Restaurant,Google Pixel 5,Android,291,4.1,1474,46,827,13,news,Millennials,Google,Siang,gmail.com,Tri,Tidak
Kasim Winarsih,kasimwinarsih93@gmail.com,81621728814,Female,56,1968,"Gg. Sentot Alibasa No. 7, Tangerang, 55334",Ramen Ya! Kota Kasablanka Lt.UG,Restaurant,iPhone 12,iOS,84,1.4,501,16,284,1,sosmed,Gen X,iPhone,Dini Hari,gmail.com,Indosat IM3,Tidak
Teguh Narpati,teguhnarpati94@aol.com,82348964384,Male,35,1989,"Jl. Ronggowarsito No. 9, Jakarta Barat, 74472",Kedai Sinau,Cafe,iPhone 12,iOS,134,2.5,1125,24,367,3,streaming video,Millennials,iPhone,Dini Hari,aol.com,Telkomsel,Tidak
Ika Prasasta,ikaprasasta95@yahoo.com,81679031926,Male,58,1966,"Jalan M.T Haryono No. 40, Jakarta Barat, 06298",Kopitok Coffee Kemang,Cafe,Samsung Galaxy S21,Android,411,7.5,2169,72,1083,22,e-commerce,Gen X,Samsung,Malam,yahoo.com,Indosat IM3,Tidak
"Ir. Galiono Hutasoit, S.E.I",ir.galionohutasoits.e.i96@protonmail.com,83259044930,Male,50,1974,"Jl. Sukajadi No. 9, Jakarta Barat, 85320",Dekhad Gandaria,Cafe,Xiaomi Mi 11,Android,326,7.2,2243,73,1454,22,e-commerce,Gen X,Xiaomi,Malam,protonmail.com,AXIS,Ya
Hana Kuswoyo,hanakuswoyo97@outlook.com,88192205983,Male,20,2004,"Jalan Rungkut Industri No. 48, Jakarta Selatan, 98709",Warung Tekko Kramat Jati,Restaurant,iPhone 12,iOS,550,9.5,2916,91,1946,1,other,Gen Z,iPhone,Dini Hari,outlook.com,Smartfren,Tidak
Gadang Hutagalung,gadanghutagalung98@outlook.com,88921576845,Female,28,1996,"Gang Pacuan Kuda No. 51, Jakarta Utara, 12349",Dua Coffee @ Cipete,Cafe,OnePlus 9,Android,516,12.0,2406,82,1968,11,other,Millennials,OnePlus,Siang,outlook.com,Smartfren,Tidak
Azalea Mayasari,azaleamayasari99@gmail.com,88458423161,Female,25,1999,"Gg. Cihampelas No. 36, Jakarta Selatan, 40239",Kopikalyan Wijaya,Cafe,Google Pixel 5,Android,59,1.2,361,18,293,12,sosmed,Gen Z,Google,Siang,gmail.com,Smartfren,Tidak
Jaswadi Halimah,jaswadihalimah100@yahoo.com,88497174571,Female,50,1974,"Gg. K.H. Wahid Hasyim No. 6, Jakarta Selatan, 39641",Sambalado,Restaurant,OnePlus 9,Android,225,5.5,1526,44,875,14,news,Gen X,OnePlus,Siang,yahoo.com,Smartfren,Tidak
Tania Melani,taniamelani101@aol.com,88656372166,Male,53,1971,"Gg. Rajiman No. 381, Tangerang, 63847",SMK AL Khairiyah 2,Education Center,Google Pixel 5,Android,41,1.1,389,15,136,13,sosmed,Gen X,Google,Siang,aol.com,Smartfren,Tidak
"Salsabila Kuswoyo, S.E.I",salsabilakuswoyos.e.i102@gmail.com,85682880932,Male,19,2005,"Gang Kutai No. 5, Jakarta Selatan, 72326",Kintaro Sushi PIK,Restaurant,OnePlus 9,Android,183,4.1,1210,45,738,4,news,Gen Z,OnePlus,Dini Hari,gmail.com,Indosat IM3,Ya
"Tgk. Olivia Pudjiastuti, S.Farm",tgk.oliviapudjiastutis.farm103@aol.com,89854864179,Female,32,1992,"Gang Soekarno Hatta No. 6, Jakarta Timur, 19803",Ramen Ya! Gandaria City,Restaurant,Google Pixel 5,Android,174,2.5,929,37,565,19,streaming video,Millennials,Google,Malam,aol.com,Tri,Ya
Jaga Handayani,jagahandayani104@yahoo.com,82203098849,Male,28,1996,"Gg. Tebet Barat Dalam No. 80, Bekasi, 17967",Gedung Cyber,Office,Xiaomi Mi 11,Android,274,4.2,1781,52,934,21,news,Millennials,Xiaomi,Malam,yahoo.com,Telkomsel,Tidak
"Uda Maryati, M.Kom.",udamaryatim.kom.105@gmail.com,83175503983,Male,25,1999,"Jl. Ciumbuleuit No. 862, Bogor, 35651",Gedung Cyber,Office,Xiaomi Mi 11,Android,166,2.8,1113,28,360,1,streaming video,Gen Z,Xiaomi,Dini Hari,gmail.com,AXIS,Ya
"R. Elma Nainggolan, S.Kom",r.elmanainggolans.kom106@gmail.com,88530399011,Male,36,1988,"Jl. Tubagus Ismail No. 6, Depok, 05853",Sambal Setan,Restaurant,Xiaomi Mi 11,Android,66,1.2,585,12,264,4,sosmed,Millennials,Xiaomi,Dini Hari,gmail.com,Smartfren,Ya
Devi Nainggolan,devinainggolan107@gmail.com,88796600095,Male,55,1969,"Jalan Pacuan Kuda No. 47, Jakarta Timur, 96201",Harton Tower,Office,Google Pixel 5,Android,152,2.7,642,38,596,3,streaming video,Gen X,Google,Dini Hari,gmail.com,Smartfren,Tidak
Lalita Hastuti,lalitahastuti108@gmail.com,81154391056,Female,23,2001,"Gang Rawamangun No. 072, Jakarta Utara, 46503",JEC Kedoya,Compound Space,Google Pixel 5,Android,54,1.4,403,17,278,6,sosmed,Gen Z,Google,Pagi,gmail.com,Telkomsel,Tidak
Soleh Samosir,solehsamosir109@protonmail.com,85712316711,Female,50,1974,"Gang BKR No. 917, Jakarta Barat, 32751",Koridor 13 Halte Tegal Mampang,Transportation,Xiaomi Mi 11,Android,187,5.5,1754,55,711,5,news,Gen X,Xiaomi,Pagi,protonmail.com,Indosat IM3,Tidak
"Kasusra Latupono, S.Kom",kasusralatuponos.kom110@gmail.com,81506415457,Female,39,1985,"Gg. Kutisari Selatan No. 9, Bogor, 08263",Mall Taman Palem,Compound Space,OnePlus 9,Android,216,6.0,1641,41,889,20,news,Millennials,OnePlus,Malam,gmail.com,Indosat IM3,Ya
"Yunita Putra, S.Pd",yunitaputras.pd111@gmail.com,85612836801,Female,41,1983,"Jalan KH Amin Jasuta No. 044, Jakarta Selatan, 73679",Kataloji Coffee & Eatery,Cafe,OnePlus 9,Android,95,3.8,718,26,459,17,streaming video,Millennials,OnePlus,Sore,gmail.com,Indosat IM3,Ya
"R.A. Ophelia Suwarno, S.Farm",r.a.opheliasuwarnos.farm112@outlook.com,83128692469,Male,19,2005,"Gg. KH Amin Jasuta No. 0, Jakarta Barat, 32500",Kopi Bojo Plaza Kuningan,Cafe,Xiaomi Mi 11,Android,488,8.6,2447,84,2344,14,other,Gen Z,Xiaomi,Siang,outlook.com,AXIS,Ya
"Dr. Cinta Utama, M.TI.",dr.cintautamam.ti.113@gmail.com,85315518148,Female,27,1997,"Jalan Sadang Serang No. 6, Bekasi, 53159",Los Medellin,Cafe,Google Pixel 5,Android,295,5.1,1483,45,748,6,news,Gen Z,Google,Pagi,gmail.com,Telkomsel,Ya
Pangestu Nashiruddin,pangestunashiruddin114@gmail.com,81131885489,Male,42,1982,"Jl. BKR No. 5, Jakarta Utara, 05442",MTM Representative Office,Office,Samsung Galaxy S21,Android,136,3.2,818,33,404,11,streaming video,Millennials,Samsung,Siang,gmail.com,Telkomsel,Tidak
Drs. Hardana Siregar,drs.hardanasiregar115@outlook.com,88853947676,Female,54,1970,"Jl. Peta No. 819, Jakarta Pusat, 81481",Warung Fotkop,Cafe,Xiaomi Mi 11,Android,471,7.9,2156,76,1324,21,e-commerce,Gen X,Xiaomi,Malam,outlook.com,Smartfren,Ya
Adikara Sitorus,adikarasitorus116@gmail.com,88896227677,Male,39,1985,"Jl. HOS. Cokroaminoto No. 15, Tangerang Selatan, 61397",Sambal Setan,Restaurant,iPhone 12,iOS,121,3.2,651,34,596,2,streaming video,Millennials,iPhone,Dini Hari,gmail.com,Smartfren,Tidak
"dr. Cakrajiya Suryono, M.TI.",dr.cakrajiyasuryonom.ti.117@gmail.com,88843904648,Male,18,2006,"Gang Rajiman No. 1, Jakarta Pusat, 29013",Koridor 01 Halte Mangga Besar,Transportation,iPhone 12,iOS,75,1.2,409,13,281,8,sosmed,Gen Z,iPhone,Pagi,gmail.com,Smartfren,Ya
"R. Oni Haryanto, S.E.",r.oniharyantos.e.118@gmail.com,88811239076,Female,27,1997,"Jalan Kutai No. 6, Bogor, 23795",Warung Tekko Artha Gading,Restaurant,iPhone 12,iOS,220,5.2,1631,49,909,0,news,Gen Z,iPhone,Dini Hari,gmail.com,Smartfren,Ya
Drs. Putri Firgantoro,drs.putrifirgantoro119@gmail.com,81462120563,Female,28,1996,"Jalan Abdul Muis No. 0, Jakarta Timur, 64344",Warung Tekko Pluit Village,Restaurant,Samsung Galaxy S21,Android,82,1.6,590,13,124,14,sosmed,Millennials,Samsung,Siang,gmail.com,Indosat IM3,Ya
Saka Setiawan,sakasetiawan120@yahoo.com,83343344290,Male,41,1983,"Jl. Ciumbuleuit No. 95, Tangerang, 23623",Warung Tekko Artha Gading,Restaurant,Google Pixel 5,Android,97,2.7,1018,37,428,4,streaming video,Millennials,Google,Dini Hari,yahoo.com,AXIS,Tidak
Padmi Irawan,padmiirawan121@gmail.com,81732945094,Female,45,1979,"Jl. Raya Ujungberung No. 674, Tangerang, 38363",Mall Taman Palem,Compound Space,Samsung Galaxy S21,Android,388,6.6,2085,71,1150,1,e-commerce,Gen X,Samsung,Dini Hari,gmail.com,XL,Tidak
Sutan Luhung Handayani,sutanluhunghandayani122@gmail.com,82170434155,Female,39,1985,"Jl. Sadang Serang No. 011, Bogor, 62389",Warung Tekko Kramat Jati,Restaurant,OnePlus 9,Android,529,8.7,2484,89,2189,3,other,Millennials,OnePlus,Dini Hari,gmail.com,Telkomsel,Tidak
Laila Gunawan,lailagunawan123@gmail.com,85529559722,Female,49,1975,"Gg. Cempaka No. 6, Tangerang, 46374",Warung Fotkop,Cafe,Google Pixel 5,Android,584,10.0,2541,99,2391,23,other,Gen X,Google,Malam,gmail.com,Indosat IM3,Tidak
"Silvia Natsir, S.E.",silvianatsirs.e.124@gmail.com,81952394156,Male,35,1989,"Gang Sentot Alibasa No. 99, Tangerang, 78253",Mall Taman Palem,Compound Space,Google Pixel 5,Android,529,8.1,2686,96,1924,7,other,Millennials,Google,Pagi,gmail.com,XL,Ya
"Puti Najwa Rahimah, M.Farm",putinajwarahimahm.farm125@yahoo.com,81292997995,Male,21,2003,"Gang M.T Haryono No. 44, Tangerang, 34241",Warung Tekko Artha Gading,Restaurant,Google Pixel 5,Android,227,5.1,1702,57,714,0,news,Gen Z,Google,Dini Hari,yahoo.com,Telkomsel,Ya
"Sari Salahudin, S.E.",sarisalahudins.e.126@mail.com,83342557462,Male,50,1974,"Gg. W.R. Supratman No. 9, Bogor, 71626",Kopi Takua,Cafe,Samsung Galaxy S21,Android,535,11.8,2858,99,2378,22,other,Gen X,Samsung,Malam,mail.com,AXIS,Ya
Yoga Saefullah,yogasaefullah127@outlook.com,83193956470,Female,20,2004,"Gang Moch. Ramdan No. 087, Bekasi, 01057",Kantor PC 24,Office,iPhone 12,iOS,332,7.4,2149,68,1321,23,e-commerce,Gen Z,iPhone,Malam,outlook.com,AXIS,Tidak
Banara Kuswoyo,banarakuswoyo128@gmail.com,89628818677,Female,50,1974,"Jalan Pasirkoja No. 5, Jakarta Barat, 11172",Warung Tekko Daan Mogot,Restaurant,Google Pixel 5,Android,252,4.2,1439,45,667,13,news,Gen X,Google,Siang,gmail.com,Tri,Tidak
H. Kawaca Rahayu,h.kawacarahayu129@outlook.com,81791276553,Male,31,1993,"Jl. Ir. H. Djuanda No. 8, Jakarta Selatan, 52420",JEC Kedoya,Compound Space,Xiaomi Mi 11,Android,125,2.5,678,34,465,22,streaming video,Millennials,Xiaomi,Malam,outlook.com,XL,Ya
Mala Sitorus,malasitorus130@aol.com,88802598116,Female,36,1988,"Gang Gardujati No. 385, Jakarta Pusat, 63546",Ramen Ya! Gandaria City,Restaurant,Xiaomi Mi 11,Android,97,3.3,751,39,412,11,streaming video,Millennials,Xiaomi,Siang,aol.com,Smartfren,Tidak
"Sutan Kemba Marbun, M.TI.",sutankembamarbunm.ti.131@gmail.com,83851790802,Male,40,1984,"Gg. H.J Maemunah No. 590, Bogor, 81522",Conclave Arteri,Office,Google Pixel 5,Android,540,10.8,2923,90,1886,1,other,Millennials,Google,Dini Hari,gmail.com,AXIS,Ya
Jabal Irawan,jabalirawan132@yahoo.com,81187157744,Female,52,1972,"Gang Cikutra Timur No. 27, Tangerang, 65796",Pard Coffee,Cafe,Xiaomi Mi 11,Android,320,7.2,2056,69,1226,4,e-commerce,Gen X,Xiaomi,Dini Hari,yahoo.com,Telkomsel,Tidak
Dt. Edison Dabukke,dt.edisondabukke133@gmail.com,85673809397,Female,40,1984,"Gang Gedebage Selatan No. 927, Depok, 27861",Kintaro Sushi PIK,Restaurant,Google Pixel 5,Android,176,3.6,1193,30,458,12,streaming video,Millennials,Google,Siang,gmail.com,Indosat IM3,Ya
Vivi Tamba,vivitamba134@outlook.com,88940927974,Male,42,1982,"Jalan Abdul Muis No. 900, Jakarta Timur, 64956",Tempat Kita Coffee,Cafe,Samsung Galaxy S21,Android,79,1.0,313,18,139,0,sosmed,Millennials,Samsung,Dini Hari,outlook.com,Smartfren,Tidak
Ina Nasyidah,inanasyidah135@aol.com,88827311904,Male,51,1973,"Gg. Gedebage Selatan No. 73, Jakarta Utara, 07040",Bukan Ruang,Cafe,Xiaomi Mi 11,Android,83,1.6,303,19,285,19,sosmed,Gen X,Xiaomi,Malam,aol.com,Smartfren,Tidak
Siska Wastuti,siskawastuti136@gmail.com,88317886976,Female,55,1969,"Gg. Jend. Sudirman No. 691, Jakarta Timur, 33584",60 Common House,Cafe,iPhone 12,iOS,555,11.3,2528,90,1856,4,other,Gen X,iPhone,Dini Hari,gmail.com,Smartfren,Tidak
Murti Utama,murtiutama137@gmail.com,85857305879,Male,39,1985,"Jalan Cikutra Barat No. 25, Jakarta Utara, 77982",JEC Kedoya,Compound Space,Samsung Galaxy S21,Android,66,1.7,375,16,216,9,sosmed,Millennials,Samsung,Pagi,gmail.com,Indosat IM3,Tidak
Aswani Permata,aswanipermata138@yahoo.com,88501512697,Female,24,2000,"Jl. Cikapayang No. 42, Jakarta Barat, 76355",Graha Aruna,Office,Xiaomi Mi 11,Android,237,4.5,1368,42,868,18,news,Gen Z,Xiaomi,Sore,yahoo.com,Smartfren,Tidak
"Vera Nugroho, S.E.",veranugrohos.e.139@gmail.com,88768449654,Male,18,2006,"Gg. Pacuan Kuda No. 6, Bogor, 09818",Satoru,Restaurant,Samsung Galaxy S21,Android,497,9.7,2876,94,2076,24,other,Gen Z,Samsung,Dini Hari,gmail.com,Smartfren,Ya
Manah Hidayanto,manahhidayanto140@gmail.com,81849781581,Male,53,1971,"Jl. Jakarta No. 44, Jakarta Timur, 51126",Conclave Arteri,Office,Google Pixel 5,Android,516,11.1,2429,91,1796,15,other,Gen X,Google,Sore,gmail.com,XL,Tidak
"Maida Andriani, S.Gz",maidaandrianis.gz141@gmail.com,89955858063,Female,50,1974,"Jl. Pelajar Pejuang No. 80, Jakarta Timur, 82645",Monarki Coffee Rawamangun,Cafe,Xiaomi Mi 11,Android,219,5.2,1510,42,655,22,news,Gen X,Xiaomi,Malam,gmail.com,Tri,Ya
Luhung Pratama,luhungpratama142@outlook.com,81849231332,Male,51,1973,"Jalan Jayawijaya No. 66, Tangerang, 12468",Pard Coffee,Cafe,Google Pixel 5,Android,448,6.3,2044,71,1337,8,e-commerce,Gen X,Google,Pagi,outlook.com,XL,Tidak
Puput Purwanti,puputpurwanti143@aol.com,81586233709,Female,57,1967,"Jl. Sentot Alibasa No. 01, Jakarta Utara, 33969",Kedai Sinau,Cafe,iPhone 12,iOS,156,2.2,896,37,429,21,streaming video,Gen X,iPhone,Malam,aol.com,Indosat IM3,Tidak
"drg. Bakiman Suwarno, M.M.",drg.bakimansuwarnom.m.144@gmail.com,88893542746,Male,29,1995,"Jalan S. Parman No. 4, Depok, 01208",Gedung Cyber,Office,Samsung Galaxy S21,Android,68,1.1,528,12,201,13,sosmed,Millennials,Samsung,Siang,gmail.com,Smartfren,Ya
"Zamira Wijayanti, M.TI.",zamirawijayantim.ti.145@gmail.com,82245482353,Female,29,1995,"Gg. Laswi No. 63, Jakarta Barat, 30261",Kantor PC 24,Office,iPhone 12,iOS,524,11.2,2417,90,2069,18,other,Millennials,iPhone,Sore,gmail.com,Telkomsel,Ya
Julia Jailani,juliajailani146@outlook.com,82102638183,Male,35,1989,"Gang Pacuan Kuda No. 6, Depok, 86322",Sambal Setan,Restaurant,iPhone 12,iOS,188,5.3,1281,45,974,8,news,Millennials,iPhone,Pagi,outlook.com,Telkomsel,Tidak
Fitriani Maryadi,fitrianimaryadi147@gmail.com,83260379687,Male,33,1991,"Gang Tebet Barat Dalam No. 4, Tangerang, 93408",Warung Tekko Kramat Jati,Restaurant,Samsung Galaxy S21,Android,443,7.4,2289,73,1026,15,e-commerce,Millennials,Samsung,Sore,gmail.com,AXIS,Tidak
Hj. Devi Firmansyah,hj.devifirmansyah148@gmail.com,81790851575,Male,24,2000,"Jalan Ciwastra No. 38, Jakarta Utara, 21387",Ramen Ya! Kota Kasablanka Lt.UG,Restaurant,Xiaomi Mi 11,Android,52,1.6,385,19,234,4,sosmed,Gen Z,Xiaomi,Dini Hari,gmail.com,XL,Ya
"dr. Fitria Wijayanti, S.Kom",dr.fitriawijayantis.kom149@gmail.com,89950096221,Male,56,1968,"Jalan Ahmad Yani No. 57, Jakarta Barat, 12550",Warung Tekko Kemang,Restaurant,OnePlus 9,Android,228,4.2,1677,58,823,8,news,Gen X,OnePlus,Pagi,gmail.com,Tri,Ya
Darmanto Siregar,darmantosiregar150@gmail.com,81878675852,Male,51,1973,"Gang Moch. Ramdan No. 6, Bekasi, 76614",Warung Tekko Artha Gading,Restaurant,Google Pixel 5,Android,149,3.7,873,34,459,16,streaming video,Gen X,Google,Sore,gmail.com,XL,Tidak
Bancar Habibi,bancarhabibi151@outlook.com,85197712824,Male,21,2003,"Jl. Cikutra Timur No. 9, Jakarta Utara, 55950",Dua Coffee @ Tebet,Cafe,iPhone 12,iOS,523,9.4,2583,92,1539,19,other,Gen Z,iPhone,Malam,outlook.com,Telkomsel,Tidak
Upik Aryani,upikaryani152@aol.com,88113606510,Female,52,1972,"Jl. M.T Haryono No. 300, Bogor, 79626",Warung Tekko Daan Mogot,Restaurant,Samsung Galaxy S21,Android,42,1.6,315,19,207,19,sosmed,Gen X,Samsung,Malam,aol.com,Smartfren,Tidak
Ir. Lulut Waluyo,ir.lulutwaluyo153@gmail.com,85290928775,Female,56,1968,"Gg. H.J Maemunah No. 4, Depok, 01377",Halte CSW - Asean - Kejaksaan Agung,Transportation,Google Pixel 5,Android,120,2.0,741,38,396,21,streaming video,Gen X,Google,Malam,gmail.com,Telkomsel,Ya
"Enteng Suryatmi, S.Psi",entengsuryatmis.psi154@yahoo.com,88237770394,Female,27,1997,"Gg. Sukajadi No. 450, Bekasi, 73465",Warung Tekko Kramat Jati,Restaurant,OnePlus 9,Android,329,7.5,2277,72,1185,21,e-commerce,Gen Z,OnePlus,Malam,yahoo.com,Smartfren,Ya
"Purwadi Rahimah, M.Pd",purwadirahimahm.pd155@mail.com,81672085193,Female,31,1993,"Gg. Soekarno Hatta No. 6, Jakarta Selatan, 23671",Tujuhari Coffee,Cafe,Xiaomi Mi 11,Android,68,1.5,364,10,102,20,sosmed,Millennials,Xiaomi,Malam,mail.com,Indosat IM3,Ya
Galuh Habibi,galuhhabibi156@yahoo.com,81934739842,Male,32,1992,"Gang Jend. A. Yani No. 5, Jakarta Utara, 72020",Pard Coffee,Cafe,Xiaomi Mi 11,Android,158,3.4,893,36,493,10,streaming video,Millennials,Xiaomi,Pagi,yahoo.com,XL,Tidak
Sabri Iswahyudi,sabriiswahyudi157@outlook.com,88498856996,Male,54,1970,"Gg. Gardujati No. 15, Tangerang, 10424",Tempat Kita Coffee,Cafe,Xiaomi Mi 11,Android,86,1.7,439,19,136,23,sosmed,Gen X,Xiaomi,Malam,outlook.com,Smartfren,Tidak
Dr. Karsa Kusmawati,dr.karsakusmawati158@gmail.com,82225103730,Male,51,1973,"Jalan Cihampelas No. 9, Jakarta Utara, 36802",8TH Brew Coffee Shop,Cafe,Xiaomi Mi 11,Android,339,7.8,2102,71,1062,20,e-commerce,Gen X,Xiaomi,Malam,gmail.com,Telkomsel,Ya
Raden Maulana,radenmaulana159@yahoo.com,81583038611,Male,51,1973,"Gang Jamika No. 307, Tangerang, 82948",SMK AL Khairiyah 2,Education Center,Samsung Galaxy S21,Android,304,6.5,2375,79,1493,14,e-commerce,Gen X,Samsung,Siang,yahoo.com,Indosat IM3,Tidak
Kuncara Tampubolon,kuncaratampubolon160@outlook.com,83140325255,Male,40,1984,"Jl. Raya Setiabudhi No. 82, Tangerang Selatan, 42914",Kedai Sinau,Cafe,Xiaomi Mi 11,Android,131,2.4,859,26,305,1,streaming video,Millennials,Xiaomi,Dini Hari,outlook.com,AXIS,Tidak
Cakrajiya Siregar,cakrajiyasiregar161@yahoo.com,82188814053,Female,35,1989,"Jl. S. Parman No. 821, Jakarta Selatan, 03160",Conclave Arteri,Office,Samsung Galaxy S21,Android,64,1.6,540,19,262,2,sosmed,Millennials,Samsung,Dini Hari,yahoo.com,Telkomsel,Tidak
"R. Cawisono Puspasari, S.Pd",r.cawisonopuspasaris.pd162@yahoo.com,85588394958,Male,42,1982,"Gang Astana Anyar No. 14, Jakarta Utara, 07173",Liberica Cilandak Town Square,Cafe,Xiaomi Mi 11,Android,53,1.9,526,15,112,9,sosmed,Millennials,Xiaomi,Pagi,yahoo.com,Indosat IM3,Ya
"Dr. Farhunnisa Hutasoit, S.IP",dr.farhunnisahutasoits.ip163@gmail.com,81824907225,Male,45,1979,"Jalan Jakarta No. 0, Tangerang, 83279",Warung Tekko Artha Gading,Restaurant,Google Pixel 5,Android,442,7.7,2067,69,1440,21,e-commerce,Gen X,Google,Malam,gmail.com,XL,Ya
Akarsana Safitri,akarsanasafitri164@yahoo.com,82390090613,Male,22,2002,"Jl. Ahmad Yani No. 83, Tangerang Selatan, 56631",The Post Coffee and Eatery,Cafe,iPhone 12,iOS,32,2.0,469,18,139,6,sosmed,Gen Z,iPhone,Pagi,yahoo.com,Telkomsel,Tidak
Kacung Thamrin,kacungthamrin165@yahoo.com,85837599481,Female,43,1981,"Jalan Rumah Sakit No. 858, Tangerang Selatan, 49902",Ramen Ya! Kota Kasablanka Lt.UG,Restaurant,Xiaomi Mi 11,Android,278,4.8,1238,48,851,7,news,Millennials,Xiaomi,Pagi,yahoo.com,Indosat IM3,Tidak
Karimah Damanik,karimahdamanik166@gmail.com,81415693805,Female,49,1975,"Jl. Kutai No. 5, Depok, 89813",Stay Kopi Kopia,Cafe,Xiaomi Mi 11,Android,540,8.4,2993,98,1540,7,other,Gen X,Xiaomi,Pagi,gmail.com,Indosat IM3,Tidak
Tina Dongoran,tinadongoran167@aol.com,83828392592,Male,30,1994,"Gang S. Parman No. 47, Jakarta Timur, 67854",Los Medellin,Cafe,Google Pixel 5,Android,595,11.3,2968,88,2366,4,other,Millennials,Google,Dini Hari,aol.com,AXIS,Tidak
Ade Simanjuntak,adesimanjuntak168@gmail.com,85104576072,Male,58,1966,"Gg. Kendalsari No. 6, Tangerang, 74670",Pard Coffee,Cafe,Google Pixel 5,Android,35,1.5,467,10,158,7,sosmed,Gen X,Google,Pagi,gmail.com,Telkomsel,Tidak
"T. Nardi Halimah, M.M.",t.nardihalimahm.m.169@aol.com,88761025425,Female,55,1969,"Jalan Veteran No. 3, Bogor, 84566",The Post Coffee and Eatery,Cafe,Google Pixel 5,Android,225,5.4,1370,44,791,18,news,Gen X,Google,Sore,aol.com,Smartfren,Ya
"T. Aslijan Dongoran, S.Gz",t.aslijandongorans.gz170@outlook.com,81506450318,Male,47,1977,"Jalan Kebonjati No. 868, Jakarta Timur, 98271",The Post Coffee and Eatery,Cafe,Google Pixel 5,Android,587,11.8,2431,90,1894,6,other,Gen X,Google,Pagi,outlook.com,Indosat IM3,Ya
Ajimat Melani,ajimatmelani171@outlook.com,83178098056,Male,44,1980,"Gang Dr. Djunjunan No. 0, Bogor, 96878",Koridor 13 Halte Rawa Barat,Transportation,Xiaomi Mi 11,Android,92,3.7,1124,27,524,19,streaming video,Gen X,Xiaomi,Malam,outlook.com,AXIS,Tidak
"Tgk. Lili Setiawan, M.M.",tgk.lilisetiawanm.m.172@yahoo.com,85536761384,Male,23,2001,"Jl. Pasteur No. 982, Jakarta Pusat, 45303",Sambalado,Restaurant,Google Pixel 5,Android,46,1.1,487,17,208,17,sosmed,Gen Z,Google,Sore,yahoo.com,Indosat IM3,Ya
Tgk. Chelsea Yuniar,tgk.chelseayuniar173@outlook.com,85310174251,Female,37,1987,"Jalan Joyoboyo No. 57, Bogor, 91166",Sliced Terogong,Restaurant,OnePlus 9,Android,153,2.8,935,25,578,9,streaming video,Millennials,OnePlus,Pagi,outlook.com,Telkomsel,Ya
Zelaya Hidayanto,zelayahidayanto174@outlook.com,85296769030,Female,27,1997,"Jalan Abdul Muis No. 53, Jakarta Utara, 45304",Dua Coffee @ Cipete,Cafe,iPhone 12,iOS,368,6.6,1817,72,1406,0,e-commerce,Gen Z,iPhone,Dini Hari,outlook.com,Telkomsel,Tidak
Tirta Wijaya,tirtawijaya175@gmail.com,81192313633,Female,29,1995,"Gang Jend. Sudirman No. 728, Jakarta Timur, 16612",Tous les Jours Sency,Cafe,Xiaomi Mi 11,Android,51,1.6,509,11,113,12,sosmed,Millennials,Xiaomi,Siang,gmail.com,Telkomsel,Tidak
"Dt. Eka Budiman, M.TI.",dt.ekabudimanm.ti.176@gmail.com,89718162305,Female,50,1974,"Jalan Ir. H. Djuanda No. 84, Jakarta Selatan, 88966",60 Common House,Cafe,Google Pixel 5,Android,279,5.2,1660,47,629,14,news,Gen X,Google,Siang,gmail.com,Tri,Ya
Puti Shania Ardianto,putishaniaardianto177@aol.com,82291921436,Male,21,2003,"Jalan Dr. Djunjunan No. 789, Jakarta Utara, 38935",Tujuhari Coffee,Cafe,Xiaomi Mi 11,Android,255,5.4,1738,42,826,8,news,Gen Z,Xiaomi,Pagi,aol.com,Telkomsel,Tidak
"dr. Tantri Jailani, M.Kom.",dr.tantrijailanim.kom.178@gmail.com,89690384428,Female,31,1993,"Jalan PHH. Mustofa No. 877, Tangerang, 04316",Warung Tekko Artha Gading,Restaurant,Samsung Galaxy S21,Android,193,5.7,1471,51,972,2,news,Millennials,Samsung,Dini Hari,gmail.com,Tri,Ya
Ciaobella Sitorus,ciaobellasitorus179@gmail.com,88442217289,Male,38,1986,"Gg. Dr. Djunjunan No. 768, Jakarta Timur, 08371",Koridor 01 Halte Harmoni,Transportation,Xiaomi Mi 11,Android,207,5.7,1582,52,692,3,news,Millennials,Xiaomi,Dini Hari,gmail.com,Smartfren,Tidak
